Dim,Key,TempoM,SD
6662,1,0.257032,0.907123
6672,1,0.266212,0.910276
6682,1,0.261036,0.913758
6692,1,0.260164,0.917017
6702,1,0.265252,0.920223
6712,1,0.262536,0.9236
6722,1,0.26424,0.926852
6732,1,0.262408,0.930147
6742,1,0.281192,0.933353
6752,1,0.278244,0.937267
6762,1,0.270116,0.941034
6772,1,0.268808,0.944459
6782,1,0.274512,0.947813
6792,1,0.27278,0.951362
6802,1,0.267516,0.954821
6812,1,0.274628,0.958061
6822,1,0.270364,0.961546
6832,1,0.273216,0.964848
6842,1,0.275024,0.968236
6852,1,0.274404,0.97167
6862,1,0.280664,0.975058
6872,1,0.273916,0.978661
6882,1,0.279548,0.981987
6892,1,0.28816,0.985502
6902,1,0.277372,0.989324
6912,1,0.295224,0.992712
6922,1,0.281464,0.996765
6932,1,0.28636,1.00026
6942,1,0.281904,1.00391
6952,1,0.284392,1.00738
6962,1,0.282952,1.01091
6972,1,0.281352,1.01437
6982,1,0.287872,1.01775
6992,1,0.28524,1.02135
7002,1,0.285032,1.02483
7012,1,0.288152,1.02828
7022,1,0.288072,1.03182
7032,1,0.290296,1.03533
7042,1,0.292072,1.03891
7052,1,0.290528,1.04253
7062,1,0.291056,1.04607
7072,1,0.289544,1.04961
7082,1,0.30544,1.05307
7092,1,0.3052,1.05711
7102,1,0.292832,1.06111
7112,1,0.295136,1.06462
7122,1,0.293928,1.0682
7132,1,0.297832,1.0717
7142,1,0.298432,1.07533
7152,1,0.297776,1.07896
7162,1,0.298864,1.08254
7172,1,0.298904,1.08614
7182,1,0.300584,1.08972
7192,1,0.30216,1.09334
7202,1,0.300592,1.097
7212,1,0.30596,1.10057
7222,1,0.307368,1.10432
7232,1,0.30416,1.1081
7242,1,0.318856,1.11174
7252,1,0.32208,1.1159
7262,1,0.307392,1.12016
7272,1,0.309224,1.12384
7282,1,0.312464,1.12757
7292,1,0.309,1.13139
7302,1,0.312216,1.13507
7312,1,0.310568,1.13884
7322,1,0.313304,1.14252
7332,1,0.314888,1.14629
7342,1,0.312904,1.15008
7352,1,0.315408,1.15379
7362,1,0.317296,1.15756
7372,1,0.315912,1.16137
7382,1,0.318424,1.16512
7392,1,0.331704,1.16893
7402,1,0.321808,1.17321
7412,1,0.327776,1.1771
7422,1,0.323008,1.18118
7432,1,0.32084,1.18506
7442,1,0.322616,1.18885
7452,1,0.326624,1.19267
7462,1,0.322816,1.19661
7472,1,0.327224,1.2004
7482,1,0.32696,1.20432
7492,1,0.340912,1.20821
7502,1,0.331104,1.21259
7512,1,0.331608,1.21658
7522,1,0.329904,1.22056
7532,1,0.329544,1.22446
7542,1,0.34256,1.22832
7552,1,0.344376,1.23263
7562,1,0.330648,1.23699
7572,1,0.334568,1.24082
7582,1,0.3356,1.24477
7592,1,0.334688,1.24873
7602,1,0.337904,1.25264
7612,1,0.338416,1.25664
7622,1,0.339104,1.26063
7632,1,0.33824,1.26462
7642,1,0.342104,1.26856
7652,1,0.342312,1.27262
7662,1,0.34124,1.27666
7672,1,0.34672,1.28063
7682,1,0.357528,1.28478
7692,1,0.365648,1.28931
7702,1,0.343816,1.29411
7712,1,0.345664,1.29808
7722,1,0.347688,1.30209
7732,1,0.345976,1.30615
7742,1,0.350272,1.31013
7752,1,0.350872,1.31424
